VoteKit RankProfile
Candidates
(CAROL J. BECKER:0),(DAVID B WHEELER:1),(DAVID PASCOE:2),(DOUGLAS SEMBLA:3),(overvote:4),(writein:5)
{'1'},{'3'},,&,58.0,&
{'1'},{'3'},{'5'},&,4.0,&
{'1'},{'4'},{'0'},&,1.0,&
{'1'},{'4'},{'2'},&,1.0,&
{'1'},{'4'},{'4'},&,1.0,&
{'1'},,,&,2688.0,&
{'1'},{'5'},{'0'},&,5.0,&
{'1'},{'5'},{'3'},&,1.0,&
{'1'},{'5'},,&,7.0,&
{'1'},{'5'},{'5'},&,6.0,&
{'2'},{'0'},{'0'},&,6.0,&
{'2'},{'0'},{'1'},&,687.0,&
{'2'},{'0'},{'2'},&,12.0,&
{'2'},{'0'},{'3'},&,498.0,&
{'2'},{'0'},,&,271.0,&
{'2'},{'0'},{'5'},&,9.0,&
{'2'},{'1'},{'0'},&,572.0,&
{'2'},{'1'},{'1'},&,1.0,&
{'2'},{'1'},{'2'},&,8.0,&
{'2'},{'1'},{'3'},&,370.0,&
{'2'},{'1'},,&,154.0,&
{'2'},{'1'},{'5'},&,7.0,&
{'2'},{'2'},{'0'},&,3.0,&
{'2'},{'2'},{'1'},&,2.0,&
{'2'},{'2'},{'2'},&,98.0,&
{'2'},{'2'},{'3'},&,3.0,&
{'2'},{'2'},,&,12.0,&
{'2'},{'3'},{'0'},&,231.0,&
{'2'},{'3'},{'1'},&,241.0,&
{'2'},{'3'},{'2'},&,13.0,&
{'2'},{'3'},{'3'},&,1.0,&
{'2'},{'3'},,&,131.0,&
{'2'},{'3'},{'5'},&,6.0,&
{'2'},{'4'},{'1'},&,1.0,&
{'2'},{'4'},,&,1.0,&
{'2'},,,&,2409.0,&
{'2'},{'5'},{'0'},&,4.0,&
{'2'},{'5'},{'1'},&,2.0,&
{'2'},{'5'},{'3'},&,2.0,&
{'2'},{'5'},,&,9.0,&
{'2'},{'5'},{'5'},&,43.0,&
{'3'},{'0'},{'0'},&,4.0,&
{'3'},{'0'},{'1'},&,300.0,&
{'3'},{'0'},{'2'},&,238.0,&
{'3'},{'0'},{'3'},&,8.0,&
{'3'},{'0'},{'4'},&,1.0,&
{'3'},{'0'},,&,112.0,&
{'3'},{'0'},{'5'},&,12.0,&
{'3'},{'1'},{'0'},&,223.0,&
{'3'},{'1'},{'1'},&,4.0,&
{'3'},{'1'},{'2'},&,277.0,&
{'3'},{'1'},{'3'},&,3.0,&
{'3'},{'1'},{'4'},&,1.0,&
{'3'},{'1'},,&,44.0,&
{'3'},{'1'},{'5'},&,1.0,&
{'3'},{'2'},{'0'},&,184.0,&
{'3'},{'2'},{'1'},&,134.0,&
{'3'},{'2'},{'3'},&,8.0,&
{'3'},{'2'},{'4'},&,2.0,&
{'3'},{'2'},,&,51.0,&
{'3'},{'2'},{'5'},&,5.0,&
{'3'},{'3'},{'0'},&,7.0,&
{'3'},{'3'},{'1'},&,1.0,&
{'3'},{'3'},{'2'},&,5.0,&
{'3'},{'3'},{'3'},&,38.0,&
{'3'},{'3'},,&,3.0,&
{'3'},,,&,615.0,&
{'3'},{'5'},{'0'},&,2.0,&
{'3'},{'5'},{'1'},&,1.0,&
{'3'},{'5'},{'2'},&,2.0,&
{'3'},{'5'},,&,8.0,&
{'3'},{'5'},{'5'},&,11.0,&
{'4'},{'0'},{'1'},&,1.0,&
{'4'},{'0'},{'2'},&,3.0,&
{'4'},{'0'},{'3'},&,1.0,&
{'4'},{'0'},,&,13.0,&
{'4'},{'1'},{'0'},&,1.0,&
{'4'},{'1'},{'2'},&,2.0,&
{'4'},{'1'},,&,7.0,&
{'4'},{'2'},{'2'},&,1.0,&
{'4'},{'2'},{'4'},&,1.0,&
{'4'},{'2'},,&,3.0,&
{'4'},{'3'},{'0'},&,1.0,&
{'4'},{'3'},{'1'},&,1.0,&
{'4'},{'3'},{'2'},&,1.0,&
{'4'},{'4'},{'2'},&,1.0,&
{'4'},{'4'},{'4'},&,4.0,&
{'4'},{'4'},,&,3.0,&
{'4'},,,&,53.0,&
{'5'},,,&,202.0,&
{'5'},{'0'},{'1'},&,10.0,&
{'5'},{'0'},{'2'},&,6.0,&
{'5'},{'0'},{'3'},&,3.0,&
{'5'},{'0'},,&,9.0,&
{'5'},{'0'},{'5'},&,3.0,&
{'5'},{'1'},{'0'},&,10.0,&
{'5'},{'1'},{'1'},&,1.0,&
{'5'},{'1'},{'2'},&,1.0,&
{'5'},{'1'},{'3'},&,4.0,&
{'5'},{'2'},{'0'},&,4.0,&
{'5'},{'2'},{'1'},&,4.0,&
{'5'},{'2'},{'3'},&,1.0,&
{'5'},{'3'},{'0'},&,3.0,&
{'5'},{'3'},{'1'},&,1.0,&
{'5'},{'3'},{'2'},&,3.0,&
{'5'},{'3'},,&,3.0,&
{'5'},{'5'},{'0'},&,4.0,&
{'5'},{'5'},{'1'},&,1.0,&
{'5'},{'5'},{'2'},&,1.0,&
{'5'},{'5'},{'4'},&,1.0,&
{'5'},{'5'},,&,17.0,&
{'5'},{'5'},{'5'},&,123.0,&
