VoteKit RankProfile
Candidates
(writein:0),(Carol Becker:1),(James Elliot Swartwood:2),(DeWayne Townsend:3),(R. Michael Martens:4),(David Wheeler:5),(Phil Willkie:6)
Max Ranking Length
3
Includes Voter Set
False
=,=,=,=,=,=,=,=,=,=
Ranking_1,Ranking_2,Ranking_3,&,Weight,&
{'5'},{'0'},{'1'},&,1.0,&
{'5'},{'2'},{'1'},&,37.0,&
{'5'},{'2'},{'4'},&,33.0,&
{'5'},{'2'},{'3'},&,26.0,&
{'5'},{'2'},{'5'},&,1.0,&
{'5'},{'2'},{'6'},&,35.0,&
{'5'},{'2'},,&,32.0,&
{'5'},{'3'},{'1'},&,129.0,&
{'5'},{'3'},{'0'},&,2.0,&
{'5'},{'3'},{'4'},&,48.0,&
{'5'},{'3'},{'2'},&,24.0,&
{'5'},{'3'},{'6'},&,54.0,&
{'5'},{'3'},,&,73.0,&
{'5'},{'6'},{'1'},&,196.0,&
{'5'},{'6'},{'0'},&,1.0,&
{'5'},{'6'},{'4'},&,67.0,&
{'5'},{'6'},{'2'},&,63.0,&
{'5'},{'6'},{'3'},&,65.0,&
{'5'},{'6'},,&,147.0,&
{'5'},,,&,2112.0,&
{'6'},{'0'},{'0'},&,7.0,&
{'6'},{'1'},{'0'},&,2.0,&
{'6'},{'1'},{'4'},&,75.0,&
{'6'},{'1'},{'2'},&,63.0,&
{'6'},{'1'},{'3'},&,118.0,&
{'6'},{'1'},{'5'},&,263.0,&
{'6'},{'1'},,&,339.0,&
{'6'},{'0'},{'5'},&,1.0,&
{'6'},{'0'},,&,2.0,&
{'6'},{'0'},{'1'},&,2.0,&
{'6'},{'4'},{'1'},&,31.0,&
{'6'},{'4'},{'2'},&,17.0,&
{'6'},{'4'},{'3'},&,13.0,&
{'6'},{'4'},{'5'},&,44.0,&
{'6'},{'4'},,&,25.0,&
{'6'},{'2'},{'1'},&,19.0,&
{'6'},{'2'},{'4'},&,15.0,&
{'6'},{'2'},{'3'},&,14.0,&
{'6'},{'2'},{'5'},&,24.0,&
{'6'},{'2'},,&,23.0,&
{'6'},{'3'},{'1'},&,94.0,&
{'6'},{'3'},{'0'},&,2.0,&
{'6'},{'3'},{'4'},&,20.0,&
{'6'},{'3'},{'2'},&,28.0,&
{'6'},{'3'},{'5'},&,37.0,&
{'6'},{'3'},,&,45.0,&
{'6'},{'5'},{'1'},&,136.0,&
{'6'},{'5'},{'4'},&,49.0,&
{'6'},{'5'},{'2'},&,36.0,&
{'6'},{'5'},{'3'},&,48.0,&
{'6'},{'5'},,&,99.0,&
{'6'},,,&,1259.0,&
